datetime,mean_deg_lat,mean_deg_long
2021-06-13T00:00:16Z,32.696333333333335,117.157
2021-06-13T00:00:17Z,32.6965,117.15683333333334
2021-06-13T00:00:18Z,32.69683333333333,117.15633333333334
2021-06-13T00:00:19Z,32.69283333333333,117.1755
2021-06-13T00:00:20Z,32.67333333333333,117.22133333333333
2021-06-13T00:00:21Z,32.66166666666667,117.28966666666666
2021-06-13T00:00:22Z,32.65833333333333,117.33133333333333
2021-06-13T00:00:23Z,32.6525,117.374
2021-06-13T00:00:24Z,32.652166666666666,117.375
2021-06-13T00:00:25Z,32.651833333333336,117.37583333333333
2021-06-13T00:00:26Z,32.6515,117.37683333333334
2021-06-13T00:00:27Z,32.65116666666667,117.37766666666667
2021-06-13T00:00:28Z,32.64933333333333,117.38583333333334
2021-06-13T00:00:29Z,32.6505,117.3795
2021-06-13T00:00:30Z,32.650166666666664,117.3805
2021-06-13T00:00:31Z,32.64983333333333,117.38133333333333
2021-06-13T00:00:32Z,32.64933333333333,117.38233333333334
2021-06-13T00:00:33Z,32.648,117.3875
2021-06-13T00:00:34Z,32.648666666666664,117.38416666666667
2021-06-13T00:00:35Z,32.64833333333333,117.385
2021-06-13T00:00:36Z,32.647666666666666,117.38683333333333
2021-06-13T00:00:37Z,32.647166666666664,117.38883333333334
2021-06-13T00:00:38Z,32.6475,117.388
2021-06-13T00:00:39Z,32.647166666666664,117.38933333333334
2021-06-13T00:00:40Z,32.647166666666664,117.39083333333333
2021-06-13T00:00:41Z,32.647166666666664,117.39266666666667
2021-06-13T00:00:42Z,32.647166666666664,117.39433333333334
2021-06-13T00:00:43Z,32.6475,117.39616666666667
2021-06-13T00:00:44Z,32.647666666666666,117.39783333333334
2021-06-13T00:00:45Z,32.648,117.3995
2021-06-13T00:00:46Z,32.64816666666667,117.40116666666667
2021-06-13T00:00:47Z,32.6485,117.40266666666666
2021-06-13T00:00:48Z,32.648666666666664,117.40433333333333
2021-06-13T00:00:49Z,32.648833333333336,117.40616666666666
2021-06-13T00:00:50Z,32.649166666666666,117.40783333333333
2021-06-13T00:00:51Z,32.64933333333333,117.4095
2021-06-13T00:00:52Z,32.648833333333336,117.4155
2021-06-13T00:00:53Z,32.64983333333333,117.41283333333334
2021-06-13T00:00:54Z,32.65,117.41466666666666
2021-06-13T00:00:55Z,32.650166666666664,117.41633333333333
2021-06-13T00:00:56Z,32.650166666666664,117.41816666666666
2021-06-13T00:00:57Z,32.654666666666664,117.39533333333333
2021-06-13T00:00:58Z,32.65533333333333,117.3925
2021-06-13T00:00:59Z,32.654666666666664,117.398
2021-06-13T00:01:00Z,32.655166666666666,117.3955
2021-06-13T00:01:01Z,32.655,117.397
2021-06-13T00:01:02Z,32.654333333333334,117.40216666666667
2021-06-13T00:01:03Z,32.654833333333336,117.4
2021-06-13T00:01:04Z,32.654,117.40516666666667
2021-06-13T00:01:05Z,32.6535,117.409
2021-06-13T00:01:06Z,32.654333333333334,117.40433333333333
2021-06-13T00:01:07Z,32.65416666666667,117.40583333333333
2021-06-13T00:01:08Z,32.654,117.40733333333333
2021-06-13T00:01:09Z,32.653666666666666,117.40866666666666
2021-06-13T00:01:10Z,32.6535,117.41016666666667
2021-06-13T00:01:11Z,32.653166666666664,117.4115
2021-06-13T00:01:12Z,32.652833333333334,117.41266666666667
2021-06-13T00:01:13Z,32.6525,117.41433333333333
2021-06-13T00:01:14Z,32.65233333333333,117.41516666666666
2021-06-13T00:01:15Z,32.6465,117.44883333333334
2021-06-13T00:01:16Z,32.63883333333333,117.49216666666666
2021-06-13T00:01:17Z,32.62866666666667,117.54983333333334
2021-06-13T00:01:18Z,32.6175,117.616
2021-06-13T00:01:19Z,32.61816666666667,117.68316666666666
2021-06-13T00:01:20Z,32.62016666666667,117.71783333333333
2021-06-13T00:01:21Z,32.62233333333333,117.74583333333334
2021-06-13T00:01:22Z,32.629,117.82983333333334
2021-06-14T00:00:00Z,32.628166666666665,117.83366666666667
2021-06-14T00:00:01Z,32.599833333333336,118.2765
2021-06-14T00:00:02Z,32.58316666666666,118.45316666666666
2021-06-14T00:00:03Z,32.575,118.53866666666667
2021-06-14T00:00:04Z,32.56966666666667,118.59133333333334
2021-06-14T00:00:05Z,32.55833333333333,118.6555
2021-06-14T00:00:06Z,32.546166666666664,118.04766666666667
2021-06-14T00:00:07Z,32.53616666666667,118.09566666666667
2021-06-14T00:00:08Z,32.52166666666667,118.15833333333333
2021-06-14T00:00:09Z,32.50416666666667,118.2305
2021-06-14T00:00:10Z,32.485166666666665,118.3665
2021-06-14T00:00:11Z,32.46933333333333,118.47933333333333
2021-06-14T00:00:12Z,32.455666666666666,118.57566666666666
2021-06-14T00:00:13Z,32.44416666666667,118.658
2021-06-14T00:00:14Z,32.433,118.72616666666667
2021-06-14T00:00:15Z,32.42,118.74333333333334
2021-06-14T00:00:16Z,32.409,118.759
2021-06-14T00:00:17Z,32.400166666666664,118.7725
2021-06-14T00:00:18Z,32.393,118.82083333333334
2021-06-14T00:00:19Z,32.38733333333333,118.86533333333334
2021-06-14T00:00:20Z,32.38283333333333,118.88333333333334
2021-06-14T00:00:21Z,32.37866666666667,118.913
2021-06-14T00:00:22Z,32.3755,118.9485
2021-06-14T00:00:23Z,32.37616666666667,118.9895
2021-06-14T00:00:24Z,32.376,118.99116666666667
2021-06-14T00:00:25Z,32.37583333333333,118.99216666666666
2021-06-14T00:00:26Z,32.37583333333333,118.99233333333333
2021-06-14T00:00:27Z,32.3755,118.99383333333333
2021-06-14T00:00:28Z,32.37533333333333,118.995
