datetime,mean_ext,mean_deg_lat,mean_deg_long
2021-06-13T00:00:20Z,19.05564827586207,32.67333333333333,117.22133333333333
2021-06-13T00:00:21Z,18.62863620689655,32.66166666666667,117.28966666666666
2021-06-13T00:00:22Z,19.003539655172414,32.65833333333333,117.33133333333333
2021-06-13T00:00:23Z,19.095030303030303,32.6525,117.374
2021-06-13T00:00:24Z,19.179771120689654,32.652166666666666,117.375
2021-06-13T00:00:25Z,19.10704698275862,32.651833333333336,117.37583333333333
2021-06-13T00:00:26Z,19.143980603448277,32.6515,117.37683333333334
2021-06-13T00:00:27Z,19.246395652173913,32.65116666666667,117.37766666666667
2021-06-13T00:00:28Z,19.29615,32.64933333333333,117.38583333333334
2021-06-13T00:00:29Z,19.31002943722944,32.6505,117.3795
2021-06-13T00:00:30Z,19.33577931034483,32.650166666666664,117.3805
2021-06-13T00:00:31Z,19.333907327586207,32.64983333333333,117.38133333333333
2021-06-13T00:00:32Z,19.29255344827586,32.64933333333333,117.38233333333334
2021-06-13T00:00:33Z,19.315059307359306,32.648,117.3875
2021-06-13T00:00:34Z,19.358022844827588,32.648666666666664,117.38416666666667
2021-06-13T00:00:35Z,19.375605603448275,32.64833333333333,117.385
2021-06-13T00:00:36Z,19.39204827586207,32.647666666666666,117.38683333333333
2021-06-13T00:00:37Z,19.390722413793103,32.647166666666664,117.38883333333334
2021-06-13T00:00:38Z,19.42455391304348,32.6475,117.388
2021-06-13T00:00:39Z,19.45368577586207,32.647166666666664,117.38933333333334
2021-06-13T00:00:40Z,19.485559913793104,32.647166666666664,117.39083333333333
2021-06-13T00:00:41Z,19.51718528138528,32.647166666666664,117.39266666666667
2021-06-13T00:00:42Z,19.466036637931033,32.647166666666664,117.39433333333334
2021-06-13T00:00:43Z,19.464779310344827,32.6475,117.39616666666667
2021-06-13T00:00:44Z,19.47009264069264,32.647666666666666,117.39783333333334
2021-06-13T00:00:45Z,19.502088793103447,32.648,117.3995
2021-06-13T00:00:46Z,19.532534051724138,32.64816666666667,117.40116666666667
2021-06-13T00:00:47Z,19.516370689655172,32.6485,117.40266666666666
2021-06-13T00:00:48Z,19.547027272727274,32.648666666666664,117.40433333333333
2021-06-13T00:00:49Z,19.580528448275864,32.648833333333336,117.40616666666666
2021-06-13T00:00:50Z,19.560360173160174,32.649166666666666,117.40783333333333
2021-06-13T00:00:51Z,19.625127586206897,32.64933333333333,117.4095
2021-06-13T00:00:52Z,19.621097835497835,32.648833333333336,117.4155
2021-06-13T00:00:53Z,19.607280603448277,32.64983333333333,117.41283333333334
2021-06-13T00:00:54Z,19.63109525862069,32.65,117.41466666666666
2021-06-13T00:00:55Z,19.599691341991342,32.650166666666664,117.41633333333333
2021-06-13T00:00:56Z,19.659215086206896,32.650166666666664,117.41816666666666
2021-06-13T00:00:57Z,19.609479310344827,32.654666666666664,117.39533333333333
2021-06-13T00:00:58Z,19.652574137931033,32.65533333333333,117.3925
2021-06-13T00:00:59Z,19.66530865800866,32.654666666666664,117.398
2021-06-13T00:01:00Z,19.652378354978357,32.655166666666666,117.3955
2021-06-13T00:01:01Z,19.6380606271777,32.655,117.397
2021-06-13T00:01:02Z,19.650202068965516,32.654333333333334,117.40216666666667
2021-06-13T00:01:03Z,19.66408027681661,32.654833333333336,117.4
2021-06-13T00:01:04Z,19.648417931034484,32.654,117.40516666666667
2021-06-13T00:01:05Z,19.64118062283737,32.6535,117.409
2021-06-13T00:01:06Z,19.534211764705883,32.654333333333334,117.40433333333333
2021-06-13T00:01:07Z,19.448716206896552,32.65416666666667,117.40583333333333
2021-06-13T00:01:08Z,19.445522413793103,32.654,117.40733333333333
2021-06-13T00:01:09Z,19.364499653979237,32.653666666666666,117.40866666666666
2021-06-13T00:01:10Z,19.411277586206896,32.6535,117.41016666666667
2021-06-13T00:01:11Z,19.452695847750864,32.653166666666664,117.4115
2021-06-13T00:01:12Z,19.486584827586206,32.652833333333334,117.41266666666667
2021-06-13T00:01:13Z,19.42319103448276,32.6525,117.41433333333333
2021-06-13T00:01:14Z,19.45242837370242,32.65233333333333,117.41516666666666
2021-06-13T00:01:15Z,19.412357586206895,32.6465,117.44883333333334
2021-06-13T00:01:16Z,19.45415294117647,32.63883333333333,117.49216666666666
2021-06-13T00:01:17Z,19.37324429065744,32.62866666666667,117.54983333333334
2021-06-13T00:01:18Z,19.391862413793103,32.6175,117.616
2021-06-13T00:01:19Z,19.504515086206897,32.61816666666667,117.68316666666666
2021-06-13T00:01:20Z,19.748376300578034,32.62016666666667,117.71783333333333
2021-06-13T00:01:21Z,19.58258620689655,32.62233333333333,117.74583333333334
2021-06-13T00:01:22Z,19.298427142857143,32.629,117.82983333333334
2021-06-14T00:00:00Z,19.055662903225805,32.628166666666665,117.83366666666667
2021-06-14T00:00:01Z,17.97284827586207,32.599833333333336,118.2765
2021-06-14T00:00:02Z,17.480118965517242,32.58316666666666,118.45316666666666
2021-06-14T00:00:03Z,17.271805603448275,32.575,118.53866666666667
2021-06-14T00:00:04Z,17.11677103448276,32.56966666666667,118.59133333333334
2021-06-14T00:00:05Z,16.96556091954023,32.55833333333333,118.6555
2021-06-14T00:00:06Z,16.887733497536946,32.546166666666664,118.04766666666667
2021-06-14T00:00:07Z,16.797190086206896,32.53616666666667,118.09566666666667
2021-06-14T00:00:08Z,16.640703838771593,32.52166666666667,118.15833333333333
2021-06-14T00:00:09Z,16.488310726643597,32.50416666666667,118.2305
2021-06-14T00:00:10Z,16.391064050235478,32.485166666666665,118.3665
